;ID;jenis_kelamin;pemilik_mobil;pemilik_properti;anak;pendapatan_tahunan;jenis_pendapatan;pendidikan;status_perkawinan;jenis_rumah;usia;pengalaman_kerja;telepon_seluler;telepon_kerja;telepon;ID_email;anggota_keluarga
0;5008827;M;Y;Y;0;180000.0;Pensioner;Higher education;Married;House / apartment;51.00.00;00.00;1;0;0;0;2
1;5009744;F;Y;N;0;315000.0;Commercial associate;Higher education;Married;House / apartment;37.00.00;02.00;1;1;1;0;2
2;5009746;F;Y;N;0;315000.0;Commercial associate;Higher education;Married;House / apartment;43.952.817.824.377.400;02.00;1;1;1;0;2
3;5009749;F;Y;N;0;1.913.993.262.295.080;Commercial associate;Higher education;Married;House / apartment;37.00.00;02.00;1;1;1;0;2
4;5009752;F;Y;N;0;315000.0;Commercial associate;Higher education;Married;House / apartment;37.00.00;02.00;1;1;1;0;2
5;5009753;F;Y;N;0;315000.0;Pensioner;Higher education;Married;House / apartment;37.00.00;02.00;1;1;1;0;2
6;5009754;F;Y;N;0;315000.0;Commercial associate;Higher education;Married;House / apartment;37.00.00;02.00;1;1;1;0;2
7;5009894;F;N;N;0;180000.0;Pensioner;Secondary / secondary special;Married;House / apartment;61.00.00;00.00;1;0;0;0;2
8;5010864;M;Y;Y;1;450000.0;Commercial associate;Secondary / secondary special;Married;House / apartment;50.00.00;02.00;1;0;1;1;3
9;5010868;M;Y;Y;1;450000.0;Pensioner;Secondary / secondary special;Married;House / apartment;50.00.00;02.00;1;0;1;1;3
10;5010869;M;Y;Y;1;450000.0;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;50.00.00;02.00;1;0;1;1;1
11;5018498;F;Y;Y;0;90000.0;Working;Secondary / secondary special;Married;House / apartment;52.00.00;03.00;1;1;1;0;2
12;5018501;F;Y;Y;0;1.913.993.262.295.080;Working;Secondary / secondary special;Married;House / apartment;52.00.00;03.00;1;1;1;0;2
13;5018503;F;Y;Y;0;90000.0;Working;Secondary / secondary special;Married;House / apartment;52.00.00;03.00;1;1;1;0;2
14;5021303;M;N;N;1;472500.0;Pensioner;Higher education;Married;With parents;24.00.00;03.00;1;0;0;1;3
15;5021310;M;N;Y;0;270000.0;Working;Secondary / secondary special;Married;House / apartment;46.00.00;01.00;1;0;0;0;2
16;5021314;M;N;Y;0;270000.0;Working;Secondary / secondary special;Single / not married;House / apartment;46.00.00;01.00;1;0;0;0;2
17;5021430;F;N;Y;0;126000.0;Commercial associate;Higher education;Single / not married;House / apartment;52.00.00;07.00;1;0;0;0;1
18;5021431;F;N;Y;0;126000.0;Commercial associate;Higher education;Single / not married;House / apartment;52.00.00;07.00;1;0;0;0;1
19;5021998;M;N;Y;0;90000.0;Pensioner;Secondary / secondary special;Married;House / apartment;52.00.00;05.00;1;0;0;1;2
20;5022053;M;N;N;0;202500.0;Working;Higher education;Single / not married;House / apartment;35.00.00;12.00;1;0;0;0;1
21;5022617;M;Y;Y;0;202500.0;Commercial associate;Secondary / secondary special;Civil marriage;House / apartment;33.00.00;05.00;1;0;0;1;2
22;5023781;M;N;Y;0;157500.0;Commercial associate;Higher education;Civil marriage;House / apartment;49.00.00;03.00;1;0;0;0;2
23;5023831;F;N;Y;2;112500.0;Commercial associate;Secondary / secondary special;Married;House / apartment;33.00.00;03.00;1;0;0;0;4
24;5024071;F;N;Y;0;180000.0;Working;Higher education;Married;House / apartment;44.00.00;02.00;1;0;0;0;2
25;5024213;F;Y;Y;0;540000.0;Commercial associate;Higher education;Married;House / apartment;43.00.00;01.00;1;0;1;0;2
26;5024916;F;N;Y;0;112500.0;Pensioner;Secondary / secondary special;Married;House / apartment;60.00.00;00.00;1;0;1;0;2
27;5024917;F;N;Y;0;1.913.993.262.295.080;Pensioner;Secondary / secondary special;Married;House / apartment;60.00.00;00.00;1;0;1;0;2
28;5025127;F;N;Y;0;292500.0;Working;Secondary / secondary special;Married;House / apartment;30.00.00;09.00;1;0;0;0;2
29;5028580;M;N;N;0;540000.0;Commercial associate;Higher education;Married;House / apartment;55.00.00;02.00;1;0;0;0;2
30;5029028;F;N;Y;0;90000.0;Working;Lower secondary;Single / not married;Rented apartment;33.00.00;13.00;1;0;0;0;2
31;5029311;F;N;Y;0;112500.0;Pensioner;Secondary / secondary special;Married;House / apartment;60.00.00;00.00;1;0;1;1;2
32;5033453;F;N;N;0;135000.0;Working;Higher education;Single / not married;House / apartment;29.00.00;07.00;1;0;0;0;1
33;5033514;F;Y;N;1;135000.0;Working;Secondary / secondary special;Married;House / apartment;44.00.00;01.00;1;1;0;0;3
34;5033916;M;N;Y;0;180000.0;Working;Secondary / secondary special;Married;House / apartment;36.00.00;10.00;1;0;0;0;2
35;5036469;M;Y;N;0;112500.0;State servant;Secondary / secondary special;Single / not married;House / apartment;56.00.00;04.00;1;0;0;0;2
36;5036590;M;Y;Y;0;292500.0;Working;Higher education;Married;House / apartment;58.00.00;02.00;1;0;0;0;2
37;5036660;F;Y;Y;0;76500.0;Pensioner;Secondary / secondary special;Married;House / apartment;65.00.00;00.00;1;0;0;0;2
38;5036795;M;Y;Y;0;215100.0;Commercial associate;Secondary / secondary special;Married;House / apartment;53.00.00;04.00;1;0;1;0;2
39;5041522;M;Y;Y;0;450000.0;Commercial associate;Higher education;Separated;House / apartment;44.00.00;02.00;1;1;1;0;1
40;5042064;F;Y;N;2;270000.0;State servant;Higher education;Married;House / apartment;44.00.00;20.00;1;1;1;0;4
41;5045888;F;N;Y;0;225000.0;Pensioner;Secondary / secondary special;Single / not married;House / apartment;64.00.00;00.00;1;0;0;0;1
42;5045894;F;N;Y;0;225000.0;Pensioner;Secondary / secondary special;Single / not married;House / apartment;64.00.00;00.00;1;0;0;0;1
43;5045895;F;N;Y;0;225000.0;Pensioner;Secondary / secondary special;Single / not married;House / apartment;64.00.00;00.00;1;0;0;0;1
44;5046324;F;N;Y;1;157500.0;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;42.00.00;06.00;1;0;1;0;3
45;5046328;F;N;Y;1;157500.0;Pensioner;Secondary / secondary special;Single / not married;House / apartment;42.00.00;06.00;1;0;1;0;3
46;5047662;F;N;Y;1;67500.0;Commercial associate;Secondary / secondary special;Married;House / apartment;52.00.00;11.00;1;0;0;0;3
47;5048300;M;Y;N;1;180000.0;Commercial associate;Secondary / secondary special;Married;House / apartment;30.00.00;03.00;1;0;0;0;3
48;5048301;M;Y;N;1;180000.0;Commercial associate;Secondary / secondary special;Married;House / apartment;30.00.00;03.00;1;0;0;0;3
49;5050603;M;N;N;0;157500.0;Working;Secondary / secondary special;Married;House / apartment;50.00.00;20.00;1;1;0;0;2
50;5050606;M;N;N;0;157500.0;Working;Secondary / secondary special;Married;House / apartment;50.00.00;20.00;1;1;0;0;2
51;5050671;M;N;N;0;171000.0;Commercial associate;Incomplete higher;Single / not married;House / apartment;32.00.00;00.00;1;1;1;0;1
52;5051160;M;Y;N;1;135000.0;Working;Secondary / secondary special;Married;House / apartment;26.00.00;02.00;1;0;0;0;3
53;5051161;M;Y;N;1;135000.0;Working;Secondary / secondary special;Married;House / apartment;26.00.00;02.00;1;0;0;0;3
54;5052659;F;N;Y;0;103500.0;Working;Secondary / secondary special;Married;House / apartment;28.00.00;02.00;1;0;0;1;2
55;5052661;F;N;Y;0;103500.0;Working;Secondary / secondary special;Married;House / apartment;28.00.00;02.00;1;0;0;1;2
56;5052877;M;Y;Y;0;225000.0;Working;Secondary / secondary special;Married;House / apartment;49.00.00;09.00;1;0;0;0;2
57;5052879;M;Y;Y;0;225000.0;Working;Secondary / secondary special;Married;House / apartment;49.00.00;09.00;1;0;0;0;2
58;5052882;M;Y;Y;0;225000.0;Working;Secondary / secondary special;Married;House / apartment;49.00.00;09.00;1;0;0;0;2
59;5053254;F;Y;Y;0;180000.0;Commercial associate;Secondary / secondary special;Married;House / apartment;51.00.00;06.00;1;1;0;0;2
60;5054063;M;N;N;1;157500.0;Working;Secondary / secondary special;Married;House / apartment;45.00.00;04.00;1;0;0;0;3
61;5054068;M;N;N;1;157500.0;Working;Secondary / secondary special;Married;House / apartment;45.00.00;04.00;1;0;0;0;1
62;5054524;F;N;N;2;180000.0;Working;Secondary / secondary special;Married;House / apartment;46.00.00;23.00;1;0;0;0;4
63;5054525;F;N;N;2;180000.0;Working;Secondary / secondary special;Single / not married;House / apartment;46.00.00;23.00;1;0;0;0;4
64;5058345;F;N;Y;0;99000.0;Pensioner;Higher education;Separated;House / apartment;67.00.00;00.00;1;0;0;0;1
65;5058348;F;N;Y;0;1.913.993.262.295.080;Pensioner;Higher education;Separated;House / apartment;67.00.00;00.00;1;0;0;0;1
66;5058350;M;N;Y;0;99000.0;Pensioner;Higher education;Separated;House / apartment;67.00.00;00.00;1;0;0;0;1
67;5058352;F;N;Y;0;99000.0;Pensioner;Higher education;Separated;House / apartment;67.00.00;00.00;1;0;0;0;1
68;5058530;M;N;N;0;391500.0;Working;Secondary / secondary special;Single / not married;Municipal apartment;25.00.00;01.00;1;0;0;0;1
69;5058531;M;N;N;0;391500.0;Working;Secondary / secondary special;Single / not married;Municipal apartment;25.00.00;01.00;1;0;0;0;1
70;5058532;M;N;N;0;391500.0;Working;Secondary / secondary special;Single / not married;Municipal apartment;43.952.817.824.377.400;01.00;1;0;0;0;1
71;5061360;M;N;Y;0;65250.0;Pensioner;Higher education;Married;House / apartment;57.00.00;00.00;1;0;0;0;2
72;5061396;M;N;Y;0;72900.0;Pensioner;Lower secondary;Married;House / apartment;64.00.00;00.00;1;0;0;0;2
73;5061636;F;N;Y;0;225000.0;Pensioner;Secondary / secondary special;Married;Municipal apartment;59.00.00;00.00;1;0;1;0;2
74;5061691;F;N;Y;1;67500.0;Commercial associate;Higher education;Married;House / apartment;25.00.00;04.00;1;0;0;1;3
75;5062136;M;N;N;1;180000.0;Working;Secondary / secondary special;Single / not married;House / apartment;35.00.00;00.00;1;0;0;0;2
76;5062137;M;N;Y;1;1.913.993.262.295.080;Working;Secondary / secondary special;Single / not married;House / apartment;35.00.00;00.00;1;0;0;0;2
77;5065348;F;Y;Y;0;202500.0;Working;Higher education;Married;House / apartment;42.00.00;11.00;1;0;0;0;2
